上呼吸道感染	中药功效与主治：上呼吸道感染。
泻热行滞	中药功效与主治：泻热行滞。
泻痢	中药功效与主治：泻痢。
泻痢腹痛	中药功效与主治：泻痢腹痛。
泻肝胆火	中药功效与主治：泻肝胆火。
泻肺	中药功效与主治：泻肺。
泻肺平喘	中药功效与主治：泻肺平喘。
泻血	中药功效与主治：泻血。
洗痔疮	中药功效与主治：洗痔疮。
津伤口渴	中药功效与主治：津伤口渴。
活络	中药功效与主治：活络。
活络止痛	中药功效与主治：活络止痛。
活血	中药功效与主治：活血。
活血化瘀	中药功效与主治：活血化瘀。
活血散瘀	中药功效与主治：活血散瘀。
活血止痛	中药功效与主治：活血止痛。
活血止血	中药功效与主治：活血止血。
活血消斑	中药功效与主治：活血消斑。
活血消肿	中药功效与主治：活血消肿。
活血祛瘀	中药功效与主治：活血祛瘀。
活血祛风	中药功效与主治：活血祛风。
活血舒筋	中药功效与主治：活血舒筋。
活血行气	中药功效与主治：活血行气。
活血解毒	中药功效与主治：活血解毒。
活血调经	中药功效与主治：活血调经。
活血通经	中药功效与主治：活血通经。
活血通络	中药功效与主治：活血通络。
活血通络止痛	中药功效与主治：活血通络止痛。
流感	中药功效与主治：流感。
流注	中药功效与主治：流注。
流脑	中药功效与主治：流脑。
流行性乙型脑炎	中药功效与主治：流行性乙型脑炎。
流行性感冒	中药功效与主治：流行性感冒。
流行性腮腺炎	中药功效与主治：流行性腮腺炎。
浮肿	中药功效与主治：浮肿。
浸酒	中药功效与主治：浸酒。
消化不良	中药功效与主治：消化不良。
消化道出血	中药功效与主治：消化道出血。
消宿食	中药功效与主治：消宿食。
消斑	中药功效与主治：消斑。
消暑	中药功效与主治：消暑。
消水肿	中药功效与主治：消水肿。
消渴	中药功效与主治：消渴。
消炎	中药功效与主治：消炎。
消炎止痛	中药功效与主治：消炎止痛。
消炎解毒	中药功效与主治：消炎解毒。
消热	中药功效与主治：消热。
消热解毒	中药功效与主治：消热解毒。
消疮肿	中药功效与主治：消疮肿。
消疳	中药功效与主治：消疳。
消疳热	中药功效与主治：消疳热。
消痈	中药功效与主治：消痈。
消痈排脓	中药功效与主治：消痈排脓。
消痈散结	中药功效与主治：消痈散结。
消痈肿	中药功效与主治：消痈肿。
消痞	中药功效与主治：消痞。
消痞散结	中药功效与主治：消痞散结。
消痰	中药功效与主治：消痰。
消痰止咳	中药功效与主治：消痰止咳。
消痰涤饮	中药功效与主治：消痰涤饮。
消瘀	中药功效与主治：消瘀。
消瘀血	中药功效与主治：消瘀血。
消积	中药功效与主治：消积。
消积化滞	中药功效与主治：消积化滞。
消积止痛	中药功效与主治：消积止痛。
消积滞	中药功效与主治：消积滞。
消肿	中药功效与主治：消肿。
消肿定痛	中药功效与主治：消肿定痛。
消肿托毒	中药功效与主治：消肿托毒。
消肿拔毒	中药功效与主治：消肿拔毒。
消肿排脓	中药功效与主治：消肿排脓。
消肿散结	中药功效与主治：消肿散结。
消肿止痛	中药功效与主治：消肿止痛。
消肿毒	中药功效与主治：消肿毒。
消肿生肌	中药功效与主治：消肿生肌。
消肿解毒	中药功效与主治：消肿解毒。
消胀	中药功效与主治：消胀。
消脱	中药功效与主治：消脱。
消谷	中药功效与主治：消谷。
消风	中药功效与主治：消风。
消食	中药功效与主治：消食。
消食健胃	中药功效与主治：消食健胃。
消食化滞	中药功效与主治：消食化滞。
消食化积	中药功效与主治：消食化积。
消食导滞	中药功效与主治：消食导滞。
消食积	中药功效与主治：消食积。
消食除胀	中药功效与主治：消食除胀。
涤饮	中药功效与主治：涤饮。
润五脏	中药功效与主治：润五脏。
润心肺	中药功效与主治：润心肺。
润燥	中药功效与主治：润燥。
润燥滑肠	中药功效与主治：润燥滑肠。
润燥通便	中药功效与主治：润燥通便。
润皮肤	中药功效与主治：润皮肤。
润肠	中药功效与主治：润肠。
润肠燥	中药功效与主治：润肠燥。
润肠通便	中药功效与主治：润肠通便。
润肺	中药功效与主治：润肺。
润肺下气	中药功效与主治：润肺下气。
润肺化痰	中药功效与主治：润肺化痰。
润肺止咳	中药功效与主治：润肺止咳。
润肺清心	中药功效与主治：润肺清心。
涩痛	中药功效与主治：涩痛。
涩精	中药功效与主治：涩精。
涩精固脱	中药功效与主治：涩精固脱。
涩精止血	中药功效与主治：涩精止血。
涩肠	中药功效与主治：涩肠。
涩肠敛肺	中药功效与主治：涩肠敛肺。
涩肠止泻	中药功效与主治：涩肠止泻。
淋巴结炎	中药功效与主治：淋巴结炎。
淋巴结结核	中药功效与主治：淋巴结结核。
淋巴腺炎	中药功效与主治：淋巴腺炎。
淋浊	中药功效与主治：淋浊。
淋病	中药功效与主治：淋病。
淋症	中药功效与主治：淋症。
淋痛	中药功效与主治：淋痛。
淋证	中药功效与主治：淋证。
清凉	中药功效与主治：清凉。
清凉解毒	中药功效与主治：清凉解毒。
清利头目	中药功效与主治：清利头目。
清利湿热	中药功效与主治：清利湿热。
清头目	中药功效与主治：清头目。
清心	中药功效与主治：清心。
清心安神	中药功效与主治：清心安神。
清心火	中药功效与主治：清心火。
清心解郁	中药功效与主治：清心解郁。
清心除烦	中药功效与主治：清心除烦。
清暑	中药功效与主治：清暑。
清暑热	中药功效与主治：清暑热。
清湿热	中药功效与主治：清湿热。
清火	中药功效与主治：清火。
清热	中药功效与主治：清热。
清热养肝	中药功效与主治：清热养肝。
清热养阴	中药功效与主治：清热养阴。
清热凉血	中药功效与主治：清热凉血。
清热利尿	中药功效与主治：清热利尿。
清热利水	中药功效与主治：清热利水。
清热利湿	中药功效与主治：清热利湿。
清热化痰	中药功效与主治：清热化痰。
清热平肝	中药功效与主治：清热平肝。
清热排脓	中药功效与主治：清热排脓。
清热明目	中药功效与主治：清热明目。
清热止痛	中药功效与主治：清热止痛。
清热止血	中药功效与主治：清热止血。
清热毒	中药功效与主治：清热毒。
清热泻火	中药功效与主治：清热泻火。
清热消炎	中药功效与主治：清热消炎。
清热消肿	中药功效与主治：清热消肿。
清热润肺	中药功效与主治：清热润肺。
清热燥湿	中药功效与主治：清热燥湿。
清热生津	中药功效与主治：清热生津。
清热解暑	中药功效与主治：清热解暑。
清热解毒	中药功效与主治：清热解毒。
清热豁痰	中药功效与主治：清热豁痰。
清热镇惊	中药功效与主治：清热镇惊。
清热除湿	中药功效与主治：清热除湿。
清热除烦	中药功效与主治：清热除烦。
清神	中药功效与主治：清神。
清肝	中药功效与主治：清肝。
清肝利胆	中药功效与主治：清肝利胆。
清肝明目	中药功效与主治：清肝明目。
清肝泻火	中药功效与主治：清肝泻火。
清肝火	中药功效与主治：清肝火。
清肝热	中药功效与主治：清肝热。
清肠	中药功效与主治：清肠。
清肠消痔	中药功效与主治：清肠消痔。
清肺	中药功效与主治：清肺。
清肺利咽	中药功效与主治：清肺利咽。
清肺化痰	中药功效与主治：清肺化痰。
清肺止咳	中药功效与主治：清肺止咳。
清肺润燥	中药功效与主治：清肺润燥。
清肺热	中药功效与主治：清肺热。
清肺生津	中药功效与主治：清肺生津。
清肺降气	中药功效与主治：清肺降气。
清肺降火	中药功效与主治：清肺降火。
清虚热	中药功效与主治：清虚热。
渗湿	中药功效与主治：渗湿。
渗湿通淋	中药功效与主治：渗湿通淋。
温中	中药功效与主治：温中。
温中下气	中药功效与主治：温中下气。
温中和胃	中药功效与主治：温中和胃。
温中散寒	中药功效与主治：温中散寒。
温中止呕	中药功效与主治：温中止呕。
温中止痛	中药功效与主治：温中止痛。
温中理气	中药功效与主治：温中理气。
温中降逆	中药功效与主治：温中降逆。
温暖脾肾	中药功效与主治：温暖脾肾。
温疟	中药功效与主治：温疟。
温经	中药功效与主治：温经。
温经散寒	中药功效与主治：温经散寒。
温经止痛	中药功效与主治：温经止痛。
温经止血	中药功效与主治：温经止血。
温经通络	中药功效与主治：温经通络。
温肺	中药功效与主治：温肺。
温肺化饮	中药功效与主治：温肺化饮。
温肺豁痰利气	中药功效与主治：温肺豁痰利气。
温肾	中药功效与主治：温肾。
温肾助阳	中药功效与主治：温肾助阳。
温肾壮阳	中药功效与主治：温肾壮阳。
温肾散寒	中药功效与主治：温肾散寒。
温肾阳	中药功效与主治：温肾阳。
温胃	中药功效与主治：温胃。
温胃止呕	中药功效与主治：温胃止呕。
温脾	中药功效与主治：温脾。
温脾止泻	中药功效与主治：温脾止泻。
温补	中药功效与主治：温补。
温补肝肾	中药功效与主治：温补肝肾。
温通经脉	中药功效与主治：温通经脉。
温阳	中药功效与主治：温阳。
温阳散寒	中药功效与主治：温阳散寒。
游风	中药功效与主治：游风。
湿毒	中药功效与主治：湿毒。
湿热	中药功效与主治：湿热。
湿热带下	中药功效与主治：湿热带下。
湿热泄泻	中药功效与主治：湿热泄泻。
湿热泻痢	中药功效与主治：湿热泻痢。
湿热痢疾	中药功效与主治：湿热痢疾。
湿热黄疸	中药功效与主治：湿热黄疸。
湿疮	中药功效与主治：湿疮。
湿疹	中药功效与主治：湿疹。
湿疹瘙痒	中药功效与主治：湿疹瘙痒。
湿痹	中药功效与主治：湿痹。
溃烂	中药功效与主治：溃烂。
溃疡	中药功效与主治：溃疡。
溃疡病	中药功效与主治：溃疡病。
滋肾	中药功效与主治：滋肾。
滋补	中药功效与主治：滋补。
滋补强壮	中药功效与主治：滋补强壮。
滋补肝	中药功效与主治：滋补肝。
滋补肝、肾	中药功效与主治：滋补肝、肾。
滋补肝肾	中药功效与主治：滋补肝肾。
滋阴	中药功效与主治：滋阴。
滋阴润肺	中药功效与主治：滋阴润肺。
滋阴清热	中药功效与主治：滋阴清热。
滋阴补虚	中药功效与主治：滋阴补虚。
滋阴降火	中药功效与主治：滋阴降火。
滑精	中药功效与主治：滑精。
滑肠	中药功效与主治：滑肠。
滑肠通便	中药功效与主治：滑肠通便。
漆疮	中药功效与主治：漆疮。
潮热	中药功效与主治：潮热。
火伤	中药功效与主治：火伤。
火烫伤	中药功效与主治：火烫伤。
火眼	中药功效与主治：火眼。
烂疮	中药功效与主治：烂疮。
烂脚	中药功效与主治：烂脚。
烦渴	中药功效与主治：烦渴。
烦热	中药功效与主治：烦热。
烦躁	中药功效与主治：烦躁。
烦闷	中药功效与主治：烦闷。
烧伤	中药功效与主治：烧伤。
烧烫伤	中药功效与主治：烧烫伤。
烫伤	中药功效与主治：烫伤。
烫火伤	中药功效与主治：烫火伤。
热毒	中药功效与主治：热毒。
热毒疮疡	中药功效与主治：热毒疮疡。
热毒痈肿	中药功效与主治：热毒痈肿。
热泻	中药功效与主治：热泻。
热淋	中药功效与主治：热淋。
热淋涩痛	中药功效与主治：热淋涩痛。
热疮	中药功效与主治：热疮。
热病	中药功效与主治：热病。
热病烦渴	中药功效与主治：热病烦渴。
热痢	中药功效与主治：热痢。
热结便秘	中药功效与主治：热结便秘。
煎汤洗	中药功效与主治：煎汤洗。
熄风	中药功效与主治：熄风。
燥湿	中药功效与主治：燥湿。
燥湿健脾	中药功效与主治：燥湿健脾。
燥湿利水	中药功效与主治：燥湿利水。
燥湿化痰	中药功效与主治：燥湿化痰。
燥湿杀虫	中药功效与主治：燥湿杀虫。
燥湿消痰	中药功效与主治：燥湿消痰。
燥湿温中	中药功效与主治：燥湿温中。
牙周炎	中药功效与主治：牙周炎。
牙疳	中药功效与主治：牙疳。
牙痛	中药功效与主治：牙痛。
牙龈肿痛	中药功效与主治：牙龈肿痛。
牛皮癣	中药功效与主治：牛皮癣。
犬咬伤	中药功效与主治：犬咬伤。
狗咬伤	中药功效与主治：狗咬伤。
理气	中药功效与主治：理气。
理气健脾	中药功效与主治：理气健脾。
理气和胃	中药功效与主治：理气和胃。
理气安胎	中药功效与主治：理气安胎。
理气宽中	中药功效与主治：理气宽中。
理气止痛	中药功效与主治：理气止痛。
理气活血	中药功效与主治：理气活血。
理气解郁	中药功效与主治：理气解郁。
理跌打	中药功效与主治：理跌打。
理跌打伤	中药功效与主治：理跌打伤。
生发	中药功效与主治：生发。
生发乌发	中药功效与主治：生发乌发。
生津	中药功效与主治：生津。
生津止渴	中药功效与主治：生津止渴。
生津润燥	中药功效与主治：生津润燥。
生津润肺	中药功效与主治：生津润肺。
生津液	中药功效与主治：生津液。
生津益肺	中药功效与主治：生津益肺。
生肌	中药功效与主治：生肌。
生肌敛疮	中药功效与主治：生肌敛疮。
生肌止痛	中药功效与主治：生肌止痛。
生血	中药功效与主治：生血。
用于血热吐衄	中药功效与主治：用于血热吐衄。
甲状腺肿	中药功效与主治：甲状腺肿。
疏散风热	中药功效与主治：疏散风热。
疏肝	中药功效与主治：疏肝。
疏肝和胃	中药功效与主治：疏肝和胃。
疏肝破气	中药功效与主治：疏肝破气。
疏风	中药功效与主治：疏风。
疏风清热	中药功效与主治：疏风清热。
疏风通络	中药功效与主治：疏风通络。
疔毒	中药功效与主治：疔毒。
疔疮	中药功效与主治：疔疮。
疔疮痈肿	中药功效与主治：疔疮痈肿。
疔疮肿毒	中药功效与主治：疔疮肿毒。
疔肿	中药功效与主治：疔肿。
疗伤	中药功效与主治：疗伤。
疗疮	中药功效与主治：疗疮。
疗癣	中药功效与主治：疗癣。
疝气	中药功效与主治：疝气。
疝气疼痛	中药功效与主治：疝气疼痛。
疝气痛	中药功效与主治：疝气痛。
疝痛	中药功效与主治：疝痛。
疝瘕	中药功效与主治：疝瘕。
疟母	中药功效与主治：疟母。
疟疾	中药功效与主治：疟疾。
疠风	中药功效与主治：疠风。
疣赘	中药功效与主治：疣赘。
疥疮	中药功效与主治：疥疮。
疥癞	中药功效与主治：疥癞。
疥癣	中药功效与主治：疥癣。
疮毒	中药功效与主治：疮毒。
疮疖	中药功效与主治：疮疖。
疮疖痈肿	中药功效与主治：疮疖痈肿。
疮疖肿毒	中药功效与主治：疮疖肿毒。
疮疡	中药功效与主治：疮疡。
疮疡肿毒	中药功效与主治：疮疡肿毒。
疮疡肿痛	中药功效与主治：疮疡肿痛。
疮痈	中药功效与主治：疮痈。
疮痈疖肿	中药功效与主治：疮痈疖肿。
疮痈肿毒	中药功效与主治：疮痈肿毒。
疮痈肿痛	中药功效与主治：疮痈肿痛。
疮癣	中药功效与主治：疮癣。
疮肿	中药功效与主治：疮肿。
疳疮	中药功效与主治：疳疮。
疳积	中药功效与主治：疳积。
疼痛	中药功效与主治：疼痛。
痃癖	中药功效与主治：痃癖。
痄腮	中药功效与主治：痄腮。
病后体虚	中药功效与主治：病后体虚。
病后虚弱	中药功效与主治：病后虚弱。
症瘕	中药功效与主治：症瘕。
症瘕积聚	中药功效与主治：症瘕积聚。
痈毒	中药功效与主治：痈毒。
痈疖	中药功效与主治：痈疖。
痈疖疔疮	中药功效与主治：痈疖疔疮。
痈疖肿毒	中药功效与主治：痈疖肿毒。
痈疡	中药功效与主治：痈疡。
痈疮	中药功效与主治：痈疮。
痈疮肿毒	中药功效与主治：痈疮肿毒。
痈疽	中药功效与主治：痈疽。
痈疽发背	中药功效与主治：痈疽发背。
痈疽恶疮	中药功效与主治：痈疽恶疮。
痈疽疔毒	中药功效与主治：痈疽疔毒。
痈疽疔疮	中药功效与主治：痈疽疔疮。
痈疽疮毒	中药功效与主治：痈疽疮毒。
痈疽疮疖	中药功效与主治：痈疽疮疖。
痈疽疮疡	中药功效与主治：痈疽疮疡。
痈疽疮肿	中药功效与主治：痈疽疮肿。
痈疽肿毒	中药功效与主治：痈疽肿毒。
痈肿	中药功效与主治：痈肿。
痈肿恶疮	中药功效与主治：痈肿恶疮。
痈肿疔毒	中药功效与主治：痈肿疔毒。
痈肿疔疮	中药功效与主治：痈肿疔疮。
痈肿疮毒	中药功效与主治：痈肿疮毒。
痈肿疮疖	中药功效与主治：痈肿疮疖。
痈肿疮疡	中药功效与主治：痈肿疮疡。
痒疹	中药功效与主治：痒疹。
痔漏	中药功效与主治：痔漏。
痔疮	中药功效与主治：痔疮。
痔疮出血	中药功效与主治：痔疮出血。
痔疮肿痛	中药功效与主治：痔疮肿痛。
痔疾	中药功效与主治：痔疾。
痔瘘	中药功效与主治：痔瘘。
痔血	中药功效与主治：痔血。
痛经	中药功效与主治：痛经。
痛风	中药功效与主治：痛风。
痞块	中药功效与主治：痞块。
痞满	中药功效与主治：痞满。
痞积	中药功效与主治：痞积。
痢疾	中药功效与主治：痢疾。
痧气	中药功效与主治：痧气。
痧气腹痛	中药功效与主治：痧气腹痛。
痧症	中药功效与主治：痧症。
痨伤	中药功效与主治：痨伤。
痨热	中药功效与主治：痨热。
痰中带血	中药功效与主治：痰中带血。
痰厥	中药功效与主治：痰厥。
痰喘	中药功效与主治：痰喘。
痰壅	中药功效与主治：痰壅。
痰多	中药功效与主治：痰多。
痰核	中药功效与主治：痰核。
痰火	中药功效与主治：痰火。
痰热	中药功效与主治：痰热。
痰热咳嗽	中药功效与主治：痰热咳嗽。
痰血	中药功效与主治：痰血。
痰饮	中药功效与主治：痰饮。
痱子	中药功效与主治：痱子。
痹痛	中药功效与主治：痹痛。
痿痹	中药功效与主治：痿痹。
瘀滞	中药功效与主治：瘀滞。
瘀血	中药功效与主治：瘀血。
瘀血作痛	中药功效与主治：瘀血作痛。
瘀血经闭	中药功效与主治：瘀血经闭。
瘀血肿痛	中药功效与主治：瘀血肿痛。
瘀血腹痛	中药功效与主治：瘀血腹痛。
瘙痒	中药功效与主治：瘙痒。
瘫痪	中药功效与主治：瘫痪。
瘰疬	中药功效与主治：瘰疬。
瘰疬痰核	中药功效与主治：瘰疬痰核。
瘰疬结核	中药功效与主治：瘰疬结核。
瘿瘤	中药功效与主治：瘿瘤。
癃闭	中药功效与主治：癃闭。
癌症	中药功效与主治：癌症。
癌肿	中药功效与主治：癌肿。
癞疮	中药功效与主治：癞疮。
癣疥	中药功效与主治：癣疥。
癣疮	中药功效与主治：癣疮。
癣疾	中药功效与主治：癣疾。
癫狂	中药功效与主治：癫狂。
癫痫	中药功效与主治：癫痫。
白喉	中药功效与主治：白喉。
白带	中药功效与主治：白带。
白带过多	中药功效与主治：白带过多。
白浊	中药功效与主治：白浊。
白癜风	中药功效与主治：白癜风。
白秃	中药功效与主治：白秃。
百日咳	中药功效与主治：百日咳。
皮炎	中药功效与主治：皮炎。
皮肤湿疹	中药功效与主治：皮肤湿疹。
皮肤溃疡	中药功效与主治：皮肤溃疡。
皮肤病	中药功效与主治：皮肤病。
皮肤瘙痒	中药功效与主治：皮肤瘙痒。
皮肤皲裂	中药功效与主治：皮肤皲裂。
益气	中药功效与主治：益气。
益气健脾	中药功效与主治：益气健脾。
益气力	中药功效与主治：益气力。
益气摄血	中药功效与主治：益气摄血。
益气活血	中药功效与主治：益气活血。
益气生津	中药功效与主治：益气生津。
益气血	中药功效与主治：益气血。
益气补中	中药功效与主治：益气补中。
益精	中药功效与主治：益精。
益精明目	中药功效与主治：益精明目。
益精气	中药功效与主治：益精气。
益精血	中药功效与主治：益精血。
益肝	中药功效与主治：益肝。
益肝肾	中药功效与主治：益肝肾。
益肺	中药功效与主治：益肺。
益肾	中药功效与主治：益肾。
益肾固精	中药功效与主治：益肾固精。
益肾涩精	中药功效与主治：益肾涩精。
益胃	中药功效与主治：益胃。
益胃生津	中药功效与主治：益胃生津。
益脾胃	中药功效与主治：益脾胃。
益血	中药功效与主治：益血。
益阴	中药功效与主治：益阴。
盗汗	中药功效与主治：盗汗。
目昏	中药功效与主治：目昏。
目暗	中药功效与主治：目暗。
目暗不明	中药功效与主治：目暗不明。
目疾	中药功效与主治：目疾。
目痛	中药功效与主治：目痛。
目眩	中药功效与主治：目眩。
目翳	中药功效与主治：目翳。
目赤	中药功效与主治：目赤。
目赤翳障	中药功效与主治：目赤翳障。
目赤肿痛	中药功效与主治：目赤肿痛。
眩晕	中药功效与主治：眩晕。
眼结膜炎	中药功效与主治：眼结膜炎。
睾丸炎	中药功效与主治：睾丸炎。
睾丸肿痛	中药功效与主治：睾丸肿痛。
石淋	中药功效与主治：石淋。
砂淋	中药功效与主治：砂淋。
破伤风	中药功效与主治：破伤风。
破宿血	中药功效与主治：破宿血。
破气消积	中药功效与主治：破气消积。
破症结	中药功效与主治：破症结。
破瘀	中药功效与主治：破瘀。
破瘀血	中药功效与主治：破瘀血。
破积	中药功效与主治：破积。
破血消癥	中药功效与主治：破血消癥。
破血行气	中药功效与主治：破血行气。
破血软坚	中药功效与主治：破血软坚。
破血通经	中药功效与主治：破血通经。
祛寒	中药功效与主治：祛寒。
祛寒湿	中药功效与主治：祛寒湿。
祛暑	中药功效与主治：祛暑。
祛湿	中药功效与主治：祛湿。
祛湿止带	中药功效与主治：祛湿止带。
祛痰	中药功效与主治：祛痰。
祛痰开窍	中药功效与主治：祛痰开窍。
祛痰止咳	中药功效与主治：祛痰止咳。
祛瘀	中药功效与主治：祛瘀。
祛瘀定痛	中药功效与主治：祛瘀定痛。
祛瘀止痛	中药功效与主治：祛瘀止痛。
祛瘀消肿	中药功效与主治：祛瘀消肿。
祛风	中药功效与主治：祛风。
祛风利湿	中药功效与主治：祛风利湿。
祛风化湿	中药功效与主治：祛风化湿。
祛风定惊	中药功效与主治：祛风定惊。
祛风散寒	中药功效与主治：祛风散寒。
祛风杀虫	中药功效与主治：祛风杀虫。
祛风止咳	中药功效与主治：祛风止咳。
祛风止痉	中药功效与主治：祛风止痉。
祛风止痒	中药功效与主治：祛风止痒。
祛风止痛	中药功效与主治：祛风止痛。
祛风活络	中药功效与主治：祛风活络。
祛风活血	中药功效与主治：祛风活血。
祛风清热	中药功效与主治：祛风清热。
祛风湿	中药功效与主治：祛风湿。
祛风痰	中药功效与主治：祛风痰。
祛风胜湿	中药功效与主治：祛风胜湿。
祛风解毒	中药功效与主治：祛风解毒。
祛风解表	中药功效与主治：祛风解表。
祛风通络	中药功效与主治：祛风通络。
祛风除湿	中药功效与主治：祛风除湿。
神昏	中药功效与主治：神昏。
神经性头痛	中药功效与主治：神经性头痛。
神经性皮炎	中药功效与主治：神经性皮炎。
神经痛	中药功效与主治：神经痛。
神经衰弱	中药功效与主治：神经衰弱。
秃疮	中药功效与主治：秃疮。
积滞	中药功效与主治：积滞。
积聚	中药功效与主治：积聚。
筋脉拘挛	中药功效与主治：筋脉拘挛。
筋骨	中药功效与主治：筋骨。
筋骨疼痛	中药功效与主治：筋骨疼痛。
筋骨痛	中药功效与主治：筋骨痛。
筋骨痿软	中药功效与主治：筋骨痿软。
筋骨酸痛	中药功效与主治：筋骨酸痛。
糖尿病	中药功效与主治：糖尿病。
紫癜	中药功效与主治：紫癜。
红崩	中药功效与主治：红崩。
红崩白带	中药功效与主治：红崩白带。
红肿	中药功效与主治：红肿。
纳呆	中药功效与主治：纳呆。
纳气	中药功效与主治：纳气。
纳气平喘	中药功效与主治：纳气平喘。
细菌性痢疾	中药功效与主治：细菌性痢疾。
经闭	中药功效与主治：经闭。
经闭痛经	中药功效与主治：经闭痛经。
经闭腹痛	中药功效与主治：经闭腹痛。
结核	中药功效与主治：结核。
结石	中药功效与主治：结石。
结膜炎	中药功效与主治：结膜炎。
绦虫	中药功效与主治：绦虫。
绦虫病	中药功效与主治：绦虫病。
续伤止痛	中药功效与主治：续伤止痛。
续折伤	中药功效与主治：续折伤。
续筋接骨	中药功效与主治：续筋接骨。
续筋骨	中药功效与主治：续筋骨。
缓急	中药功效与主治：缓急。
缓急止痛	中药功效与主治：缓急止痛。
缩小便	中药功效与主治：缩小便。
缩尿	中药功效与主治：缩尿。
羸瘦	中药功效与主治：羸瘦。
翳障	中药功效与主治：翳障。
耳聋	中药功效与主治：耳聋。
耳鸣	中药功效与主治：耳鸣。
耳鸣耳聋	中药功效与主治：耳鸣耳聋。
聪耳明目	中药功效与主治：聪耳明目。
肋腺炎	中药功效与主治：肋腺炎。
肚痛	中药功效与主治：肚痛。
肝炎	中药功效与主治：肝炎。
肝热	中药功效与主治：肝热。
肝热目赤	中药功效与主治：肝热目赤。
肝硬化	中药功效与主治：肝硬化。
肝硬化腹水	中药功效与主治：肝硬化腹水。
肝肾	中药功效与主治：肝肾。
肝胃气痛	中药功效与主治：肝胃气痛。
肝脾肿大	中药功效与主治：肝脾肿大。
肠出血	中药功效与主治：肠出血。
肠炎	中药功效与主治：肠炎。
肠炎腹泻	中药功效与主治：肠炎腹泻。
肠燥便秘	中药功效与主治：肠燥便秘。
肠痈	中药功效与主治：肠痈。
肠胃炎	中药功效与主治：肠胃炎。
肠风	中药功效与主治：肠风。
肠风下血	中药功效与主治：肠风下血。
肠风便血	中药功效与主治：肠风便血。
肠风泻血	中药功效与主治：肠风泻血。
肠鸣	中药功效与主治：肠鸣。
肢体	中药功效与主治：肢体。
肢体麻木	中药功效与主治：肢体麻木。
肢冷脉微	中药功效与主治：肢冷脉微。
肺气	中药功效与主治：肺气。
肺炎	中药功效与主治：肺炎。
肺热	中药功效与主治：肺热。
肺热咳喘	中药功效与主治：肺热咳喘。
肺热咳嗽	中药功效与主治：肺热咳嗽。
肺热喘咳	中药功效与主治：肺热喘咳。
肺燥咳嗽	中药功效与主治：肺燥咳嗽。
肺痈	中药功效与主治：肺痈。
肺痨	中药功效与主治：肺痨。
肺痨咳嗽	中药功效与主治：肺痨咳嗽。
肺痨咳血	中药功效与主治：肺痨咳血。
肺痿	中药功效与主治：肺痿。
肺结核	中药功效与主治：肺结核。
肺结核咳嗽	中药功效与主治：肺结核咳嗽。
肺结核咳血	中药功效与主治：肺结核咳血。
肺脓疡	中药功效与主治：肺脓疡。
肺虚	中药功效与主治：肺虚。
肺虚咳嗽	中药功效与主治：肺虚咳嗽。
肾炎	中药功效与主治：肾炎。
肾炎水肿	中药功效与主治：肾炎水肿。
肾盂肾炎	中药功效与主治：肾盂肾炎。
肾虚	中药功效与主治：肾虚。
肾虚腰痛	中药功效与主治：肾虚腰痛。
肾虚遗精	中药功效与主治：肾虚遗精。
肾虚阳痿	中药功效与主治：肾虚阳痿。
肿毒	中药功效与主治：肿毒。
肿痛	中药功效与主治：肿痛。
肿瘤	中药功效与主治：肿瘤。
肿胀	中药功效与主治：肿胀。
胀满	中药功效与主治：胀满。
胁痛	中药功效与主治：胁痛。
胃寒疼痛	中药功效与主治：胃寒疼痛。
胃寒痛	中药功效与主治：胃寒痛。
胃气痛	中药功效与主治：胃气痛。
胃溃疡	中药功效与主治：胃溃疡。
胃炎	中药功效与主治：胃炎。
胃痛	中药功效与主治：胃痛。
胃肠炎	中药功效与主治：胃肠炎。
胃脘疼痛	中药功效与主治：胃脘疼痛。
胃脘痛	中药功效与主治：胃脘痛。
胃阴不足	中药功效与主治：胃阴不足。
胆囊炎	中药功效与主治：胆囊炎。
胆结石	中药功效与主治：胆结石。
胎动不安	中药功效与主治：胎动不安。
胎漏	中药功效与主治：胎漏。
胞衣不下	中药功效与主治：胞衣不下。
胸痛	中药功效与主治：胸痛。
胸痹	中药功效与主治：胸痹。
胸痹心痛	中药功效与主治：胸痹心痛。
胸胁疼痛	中药功效与主治：胸胁疼痛。
胸胁胀满	中药功效与主治：胸胁胀满。
胸腹胀满	中药功效与主治：胸腹胀满。
胸腹胀痛	中药功效与主治：胸腹胀痛。
胸闷	中药功效与主治：胸闷。
脓疱疮	中药功效与主治：脓疱疮。
脓肿	中药功效与主治：脓肿。
脓血	中药功效与主治：脓血。
脘胀痛	中药功效与主治：脘胀痛。
脘腹冷痛	中药功效与主治：脘腹冷痛。
脘腹疼痛	中药功效与主治：脘腹疼痛。
脘腹痛	中药功效与主治：脘腹痛。
脘腹胀满	中药功效与主治：脘腹胀满。
脘腹胀痛	中药功效与主治：脘腹胀痛。
脚弱	中药功效与主治：脚弱。
脚气	中药功效与主治：脚气。
脚气水肿	中药功效与主治：脚气水肿。
脚气浮肿	中药功效与主治：脚气浮肿。
脚癣	中药功效与主治：脚癣。
脱肛	中药功效与主治：脱肛。
脾胃虚弱	中药功效与主治：脾胃虚弱。
脾虚	中药功效与主治：脾虚。
脾虚泄泻	中药功效与主治：脾虚泄泻。
